127.0.0.1 - - [20/Jan/2021:10:14:13 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:14:13 +0800] "GET /loginpage/register.jsp HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:14:13 +0800] "GET /loginpage/web/js/register.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:14:16 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:14:24 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:14:35 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:14:43 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:14:47 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:19:07 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:19:12 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:19:22 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:19:25 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:19:31 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:19:39 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:21:40 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:21:42 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:21:44 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:21:45 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:21:47 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:21:56 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:22:05 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:24:45 +0800] "GET /loginpage/register.jsp HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:24:45 +0800] "GET /loginpage/web/css/register.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:24:45 +0800] "GET /loginpage/web//js/jquery-3.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:24:45 +0800] "GET /loginpage/web/js/register.js HTTP/1.1" 200 4114
0:0:0:0:0:0:0:1 - - [20/Jan/2021:10:24:48 +0800] "POST /loginpage/ajax HTTP/1.1" 200 1
